"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"0","41.3","296","97.6","98.58","40.0","25.1"
"0.96","41.3","296","97.6","98.60","40.0","25.1"
"1.92","41.2","296","97.6","98.59","76.5","25.1"
"2.88","41.2","296","97.6","98.60","75.7","25.1"
"3.84","41.2","296","97.6","98.62","74.3","25.1"
"4.8","41.2","296","97.6","98.58","40.0","25.1"
"5.76","41.2","296","97.6","98.57","65.6","25.1"
"6.72","41.1","296","97.6","98.61","40.0","25.1"
"7.68","41.1","296","97.6","98.62","77.5","25.1"
"8.64","41.1","296","97.6","98.60","78.7","25.1"
"9.6","41.1","296","97.6","98.61","70.2","25.1"
"10.56","41.1","296","97.6","98.60","57.8","25.1"
"11.52","41.1","296","97.6","98.61","86.5","25.1"
"12.48","41.1","297","97.6","98.59","78.9","25.1"
"13.44","41.1","294","97.6","98.61","66.1","25.1"
"14.4","41.1","248","97.6","98.57","49.0","25.1"
"15.36","41.1","134","97.6","98.59","40.0","25.1"
"16.32","41.1","222","97.6","98.61","75.8","25.1"
"17.28","41.1","225","97.6","98.60","40.0","25.1"
"18.24","41.1","226","97.6","98.61","79.0","25.1"
"19.2","41.1","226","97.6","98.59","69.9","25.1"
"20.16","41.1","222","97.6","98.59","52.7","25.1"
"21.12","41.1","251","97.6","98.62","40.0","25.1"
"22.08","41.1","281","97.6","98.60","67.7","25.1"
"23.04","41.1","165","97.6","98.61","44.4","25.1"
"24","41.0","28","97.6","98.60","59.5","25.1"
"24.96","41.0","14","97.6","98.57","40.0","25.1"
"25.92","41.0","11","97.6","98.60","63.1","25.1"
"26.88","41.0","9","97.6","98.60","58.2","25.1"
"27.84","41.0","9","97.6","98.60","68.0","25.1"
"28.8","41.0","9","97.6","98.61","65.8","25.1"
"29.76","41.0","9","97.6","98.58","64.2","25.1"
"30.72","41.1","15","97.6","98.59","73.0","25.1"
"31.68","41.1","256","97.6","98.60","52.0","25.1"
"32.64","41.1","288","97.6","98.61","67.8","25.1"
